year,type,province,brand,model,fuel_type,mass,power,sales,weighted_Avg_Price,market_share,market_size_x,market_size_y
2019,国产新能源乘用车,云南省,吉利,帝豪GSe,纯电动,2010.0,120.64516129032258,31.0,0.0,1.7098005939753924e-06,18130769.230769232,1813.076923076923
2019,国产新能源乘用车,云南省,启辰,启辰D60,纯电动,1950.0,120.0,22.0,0.0,1.2134068731438268e-06,18130769.230769232,1813.076923076923
2019,国产新能源乘用车,云南省,大众,宝来,纯电动,1980.0,100.0,6.0,0.0,3.3092914722104367e-07,18130769.230769232,1813.076923076923
2019,国产新能源乘用车,云南省,大众,帕萨特,插电式汽油混合动力,2190.0,85.36764705882354,544.0,0.0,3.0004242681374626e-05,18130769.230769232,1813.076923076923
2019,国产新能源乘用车,云南省,大众,朗逸,纯电动,1970.0,100.0,47.0,0.0,2.5922783198981755e-06,18130769.230769232,1813.076923076923
2019,国产新能源乘用车,云南省,大众,途观L,插电式汽油混合动力,2300.0,85.87412587412588,429.0,0.0,2.366143402630462e-05,18130769.230769232,1813.076923076923
2019,国产新能源乘用车,云南省,大众,高尔夫,纯电动,1990.0,100.0,6.0,0.0,3.3092914722104367e-07,18130769.230769232,1813.076923076923
2019,国产新能源乘用车,云南省,奇瑞,艾瑞泽5e,纯电动,1920.0,95.0,4.0,0.0,2.2061943148069578e-07,18130769.230769232,1813.076923076923
2019,国产新能源乘用车,云南省,奔腾,奔腾B30,纯电动,1838.0,90.0,348.0,0.0,1.9193890538820533e-05,18130769.230769232,1813.076923076923
2019,国产新能源乘用车,云南省,奔腾,奔腾X40,纯电动,1955.0,140.0,1.0,0.0,5.5154857870173944e-08,18130769.230769232,1813.076923076923
2019,国产新能源乘用车,云南省,奥迪,奥迪A6L,插电式汽油混合动力,2477.0,140.0,7.0,0.0,3.860840050912176e-07,18130769.230769232,1813.076923076923
2019,国产新能源乘用车,云南省,奥迪,奥迪Q2L,纯电动,2090.0,100.0,11.0,0.0,6.067034365719134e-07,18130769.230769232,1813.076923076923
2019,国产新能源乘用车,云南省,宝马,宝马5系,插电式汽油混合动力,2495.0,70.0,198.0,0.0,1.0920661858294442e-05,18130769.230769232,1813.076923076923
2019,国产新能源乘用车,云南省,宝马,宝马X1,插电式汽油混合动力,2340.0,72.5,36.0,0.0,1.985574883326262e-06,18130769.230769232,1813.076923076923
2019,国产新能源乘用车,云南省,宝骏,宝骏E100,纯电动,990.0434782608696,29.0,621.0,0.0,3.425116673737802e-05,18130769.230769232,1813.076923076923
2019,国产新能源乘用车,云南省,小鹏,小鹏G3,纯电动,2036.078431372549,145.0,51.0,0.0,2.8128977513788713e-06,18130769.230769232,1813.076923076923
2019,国产新能源乘用车,云南省,日产,轩逸,纯电动,1940.0,80.0,11.0,0.0,6.067034365719134e-07,18130769.230769232,1813.076923076923
2019,国产新能源乘用车,云南省,欧拉,欧拉iQ,纯电动,1855.0,120.0,85.0,0.0,4.688162918964786e-06,18130769.230769232,1813.076923076923
2019,国产新能源乘用车,云南省,比亚迪,比亚迪S2,纯电动,1825.0,70.0,16.0,0.0,8.824777259227831e-07,18130769.230769232,1813.076923076923
2019,国产新能源乘用车,云南省,江淮,江淮iEVA50,纯电动,2150.0,92.0,1.0,0.0,5.5154857870173944e-08,18130769.230769232,1813.076923076923
