year,type,province,brand,model,fuel_type,mass,power,sales,weighted_Avg_Price,market_size,market_share,province_id,brand_id,model_id,product_id,market_id,charging_stations_stock,sum_rival_mass,sum_rival_power,euclidean_mass,euclidean_power,local_mass,local_power
2019,国产新能源乘用车,上海市,荣威,荣威e950,插电式汽油混合动力,2135.0,62.97872340425532,658,0.0,9542307.692307692,6.895606610237807e-05,P01,B26,M03,B26M03,P01Y2019,55113,874566.2283513402,47890.74025084975,5.748328e+07,1.679035e+06,287,312
2019,国产新能源乘用车,上海市,蔚来,蔚来ES6,纯电动,2803.68932038835,69.47141316073355,1854,44.6,9542307.692307692,0.0001942926239419589,P01,B27,M01,B27M01,P01Y2019,55113,873897.5390309518,47884.24756109327,3.4138163e+08,1.435579e+06,49,323
2019,国产新能源乘用车,上海市,蔚来,蔚来ES8,纯电动,3099.0,24.91411501120239,1339,57.59999999999999,9542307.692307692,0.0001403224506247481,P01,B27,M02,B27M02,P01Y2019,55113,873602.2283513402,47928.804859242795,5.9230234e+08,3.8543015e+06,14,135
2019,国产新能源乘用车,上海市,起亚,起亚K3,插电式汽油混合动力,1980.0,44.5,8,12.685,9542307.692307692,8.383716243450222e-07,P01,B28,M01,B28M01,P01Y2019,55113,874721.2283513402,47909.218974254,4.7979836e+07,2.575425e+06,337,232
2019,国产新能源乘用车,上海市,起亚,起亚K5,插电式汽油混合动力,2200.0,50.6046511627907,215,18.48,9542307.692307692,2.253123740427247e-05,P01,B28,M02,B28M02,P01Y2019,55113,874501.2283513402,47903.114323091206,6.77749e+07,2.2459798e+06,270,266
2019,国产新能源乘用车,上海市,长安,奔奔,纯电动,1615.0,55.0,32,0.0,9542307.692307692,3.353486497380089e-06,P01,B29,M01,B29M01,P01Y2019,55113,875086.2283513402,47898.718974254,1.0930256e+08,2.0291319e+06,232,284
2019,国产新能源乘用车,上海市,长安,逸动,插电式汽油混合动力,1975.0,80.0,6,8.840000000000002,9542307.692307692,6.287787182587667e-07,P01,B29,M02,B29M02,P01Y2019,55113,874726.2283513402,47873.718974254,4.802607e+07,1.1198209e+06,336,358
2019,国产新能源乘用车,上海市,长安,逸动,纯电动,2025.0,100.0,13,8.840000000000002,9542307.692307692,1.362353889560661e-06,P01,B29,M02,B29M02,P01Y2019,55113,874676.2283513402,47853.718974254,4.855595e+07,789272.1,328,382
2019,国产新能源乘用车,上海市,长安,长安CS75,插电式汽油混合动力,2445.0,22.93478260869565,46,11.14,9542307.692307692,4.820636839983877e-06,P01,B29,M03,B29M03,P01Y2019,55113,874256.2283513402,47930.7841916453,1.4006032e+08,4.0023675e+06,136,123
2019,国产新能源乘用车,上海市,领克,领克01,插电式汽油混合动力,2206.630565583634,71.69675090252707,831,18.635,9542307.692307692,8.708585247883918e-05,P01,B30,M01,B30M01,P01Y2019,55113,874494.5977857566,47882.02222335147,6.903419e+07,1.3606911e+06,266,335
2019,国产新能源乘用车,上海市,领克,领克02,插电式汽油混合动力,2104.0,60.0,87,14.28,9542307.692307692,9.117291414752116e-06,P01,B30,M02,B30M02,P01Y2019,55113,874597.2283513402,47893.718974254,5.388739e+07,1.8031696e+06,291,303
2019,国产新能源乘用车,上海市,领克,领克03,插电式汽油混合动力,2105.0,60.0,50,27.905,9542307.692307692,5.239822652156388e-06,P01,B30,M03,B30M03,P01Y2019,55113,874596.2283513402,47893.718974254,5.399015e+07,1.8031696e+06,291,303
2019,国产新能源乘用车,云南省,东南,东南DX3,纯电动,2015.0,90.0,9,9.59,18130769.23076923,4.963937208315655e-07,P02,B31,M01,B31M01,P02Y2019,3702,911248.2879110443,49328.9779208917,5.457382e+07,816024.94,354,395
2019,国产新能源乘用车,云南省,东风风行,景逸S50,纯电动,2036.0,92.0,30,7.49,18130769.23076923,1.654645736105218e-06,P02,B01,M01,B01M01,P02Y2019,3702,911227.2879110443,49326.9779208917,9.267069e+07,1.00793e+06,273,364
2019,国产新能源乘用车,云南省,东风风行,菱智,纯电动,2525.0,90.0,2,7.990000000000001,18130769.23076923,1.103097157403479e-07,P02,B01,M02,B01M02,P02Y2019,3702,910738.2879110443,49328.9779208917,4.82154e+07,814679.9,340,396
2019,国产新能源乘用车,云南省,丰田,卡罗拉,插电式汽油混合动力,1975.0,53.0,34,13.48,18130769.23076923,1.875265167585914e-06,P02,B02,M01,B02M01,P02Y2019,3702,911288.2879110443,49365.9779208917,5.3426016e+07,872211.2,296,398
2019,国产新能源乘用车,云南省,丰田,雷凌,插电式汽油混合动力,1975.0,53.0,30,13.23,18130769.23076923,1.654645736105218e-06,P02,B02,M02,B02M02,P02Y2019,3702,911288.2879110443,49365.9779208917,5.4376004e+07,953624.06,292,391
2019,国产新能源乘用车,云南省,众泰,众泰E200,纯电动,1270.0,60.0,16,0.0,18130769.23076923,8.824777259227831e-07,P02,B04,M01,B04M01,P02Y2019,3702,911993.2879110443,49358.9779208917,1.178025e+08,945265.4,214,365
2019,国产新能源乘用车,云南省,传祺,传祺GE3,纯电动,2080.0,132.0,3,0.0,18130769.23076923,1.654645736105218e-07,P02,B05,M01,B05M01,P02Y2019,3702,911183.2879110443,49286.9779208917,8.419363e+07,841781.9,292,370
2019,国产新能源乘用车,云南省,吉利,博瑞GE,插电式汽油混合动力,2165.0,81.6,40,15.83,18130769.23076923,2.206194314806958e-06,P02,B07,M01,B07M01,P02Y2019,3702,911098.2879110443,49337.377920891704,7.7976e+07,758295.0,305,389
2019,国产新能源乘用车,云南省,吉利,嘉际,插电式汽油混合动力,2371.0,60.0,4,13.13,18130769.23076923,2.206194314806958e-07,P02,B07,M02,B07M02,P02Y2019,3702,910892.2879110443,49358.9779208917,4.9134012e+07,830453.94,351,396
2019,国产新能源乘用车,云南省,吉利,帝豪,纯电动,1970.0,120.0,821,9.985,18130769.23076923,4.528213831141281e-05,P02,B07,M03,B07M03,P02Y2019,3702,911293.2879110443,49298.9779208917,4.8431524e+07,1.2575831e+06,344,343
2019,国产新能源乘用车,云南省,吉利,帝豪GSe,纯电动,2010.0,120.6451612903226,31,13.49,18130769.23076923,1.709800593975392e-06,P02,B07,M05,B07M05,P02Y2019,3702,911253.2879110443,49298.33275960138,9.575411e+07,1.0146877e+06,260,364
2019,国产新能源乘用车,云南省,启辰,启辰D60,纯电动,1950.0,120.0,22,10.53,18130769.23076923,1.213406873143827e-06,P02,B32,M01,B32M01,P02Y2019,3702,911313.2879110443,49298.9779208917,6.762858e+07,901606.44,270,367
2019,国产新能源乘用车,云南省,大众,宝来,纯电动,1980.0,100.0,6,13.45,18130769.23076923,3.309291472210437e-07,P02,B08,M04,B08M04,P02Y2019,3702,911283.2879110443,49318.9779208917,5.380175e+07,755740.75,351,392
2019,国产新能源乘用车,云南省,大众,帕萨特,插电式汽油混合动力,2190.0,85.36764705882354,544,21.74,18130769.23076923,3.000424268137463e-05,P02,B08,M01,B08M01,P02Y2019,3702,911073.2879110443,49333.61027383288,7.889431e+07,1.0385489e+06,304,363
2019,国产新能源乘用车,云南省,大众,朗逸,纯电动,1970.0,100.0,47,12.295,18130769.23076923,2.592278319898175e-06,P02,B08,M02,B08M02,P02Y2019,3702,911293.2879110443,49318.9779208917,5.0279412e+07,760286.9,348,397
2019,国产新能源乘用车,云南省,大众,途观L,插电式汽油混合动力,2300.0,85.87412587412588,429,22.97499999999999,18130769.23076923,2.366143402630462e-05,P02,B08,M03,B08M03,P02Y2019,3702,910963.2879110443,49333.103795017574,4.8082024e+07,1.6870108e+06,333,314
2019,国产新能源乘用车,云南省,大众,高尔夫,纯电动,1990.0,100.0,6,17.98,18130769.23076923,3.309291472210437e-07,P02,B08,M05,B08M05,P02Y2019,3702,911273.2879110443,49318.9779208917,4.829709e+07,886994.75,342,391
2019,国产新能源乘用车,云南省,奇瑞,艾瑞泽5e,纯电动,1920.0,95.0,4,0.0,18130769.23076923,2.206194314806958e-07,P02,B09,M01,B09M01,P02Y2019,3702,911343.2879110443,49323.9779208917,5.0918116e+07,1.3314666e+06,310,364
2019,国产新能源乘用车,云南省,奔腾,奔腾B30,纯电动,1838.0,90.0,348,0.0,18130769.23076923,1.919389053882053e-05,P02,B33,M01,B33M01,P02Y2019,3702,911425.2879110443,49328.9779208917,5.8824056e+07,974142.56,291,389
2019,国产新能源乘用车,云南省,奔腾,奔腾X40,纯电动,1955.0,140.0,1,0.0,18130769.23076923,5.515485787017394e-08,P02,B33,M02,B33M02,P02Y2019,3702,911308.2879110443,49278.9779208917,4.8730212e+07,1.2865958e+06,326,368
2019,国产新能源乘用车,云南省,奥迪,奥迪A6L,插电式汽油混合动力,2477.0,140.0,7,54.235,18130769.23076923,3.860840050912176e-07,P02,B10,M01,B10M01,P02Y2019,3702,910786.2879110443,49278.9779208917,5.3485144e+07,974142.56,296,389
2019,国产新能源乘用车,云南省,奥迪,奥迪Q2L,纯电动,2090.0,100.0,11,24.57999999999999,18130769.23076923,6.067034365719134e-07,P02,B10,M02,B10M02,P02Y2019,3702,911173.2879110443,49318.9779208917,6.890685e+07,1.1830624e+06,331,349
2019,国产新能源乘用车,云南省,宝马,宝马5系,插电式汽油混合动力,2495.0,70.0,198,49.95,18130769.23076923,1.092066185829444e-05,P02,B11,M01,B11M01,P02Y2019,3702,910768.2879110443,49348.9779208917,5.696779e+07,1.3593795e+06,348,335
2019,国产新能源乘用车,云南省,宝马,宝马X1,插电式汽油混合动力,2340.0,72.5,36,31.94,18130769.23076923,1.985574883326262e-06,P02,B11,M02,B11M02,P02Y2019,3702,910923.2879110443,49346.4779208917,1.5296662e+08,2.1190328e+06,174,274
