year,type,province,brand,model,fuel_type,mass,power,sales,weighted_Avg_Price,market_size,market_share,nesting_ids,is_electric,shares,nest_total_sales,nest_shares,within_nest_shares,EV_total_sales,EV_share,province_id,brand_id,model_id,product_id,market_id,charging_stations_stock,charging_stations_stock_lag,range,batter_weight,battery_capacity,sum_rival_mass,sum_rival_power,euclidean_mass,euclidean_power,local_mass,local_power,steel_price_index,cost_shifter,sum_rival_range,sum_rival_battery,euclidean_range,euclidean_battery,local_range,local_battery
2019,国产新能源乘用车,上海市,长安,逸动,PHEV,1975.0,80.0,6,8.840000000000002,9542307.692307692,6.287787182587667e-07,1,1,6.287787182587667e-07,29894,0.003132785167271262,0.0002007091724091791,29894,0.003132785167271262,P01,B23,M01,B23M01,P01Y2019,55113,39303,405.0,350.4,52.56,310635.7309543268,17025.292250393668,1.2602702e+07,399259.78,132,96,108.219,213732.525,45144.55230880231,68853.58531818182,5.036348e+06,1.0460981e+08,101,103
2019,国产新能源乘用车,上海市,长安,逸动,BEV,2025.0,100.0,13,8.840000000000002,9542307.692307692,1.362353889560661e-06,1,1,1.362353889560661e-06,29894,0.003132785167271262,0.0004348698735532214,29894,0.003132785167271262,P01,B23,M01,B23M01,P01Y2019,55113,39303,405.0,350.4,52.56,310585.7309543268,17005.292250393668,1.2141628e+07,269448.1,132,119,108.219,219143.47499999998,45144.55230880231,68853.58531818182,5.036348e+06,1.0460981e+08,101,103
2019,国产新能源乘用车,上海市,长安,长安CS75,PHEV,2445.0,22.93478260869565,46,11.14,9542307.692307692,4.820636839983877e-06,1,1,4.820636839983877e-06,29894,0.003132785167271262,0.001538770321803706,29894,0.003132785167271262,P01,B23,M02,B23M02,P01Y2019,55113,39303,310.0,1061.0,1204.354,310165.7309543268,17082.357467784972,3.8668216e+07,1.446899e+06,58,18,108.219,264595.45499999996,45239.55230880231,67701.79131818181,4.1812622e+06,1.4855728e+08,68,34
2019,国产新能源乘用车,上海市,领克,领克01,PHEV,2206.630565583634,71.69675090252707,831,18.635,9542307.692307692,8.708585247883918e-05,1,1,8.708585247883918e-05,29894,0.003132785167271262,0.0277982203786713,29894,0.003132785167271262,P01,B24,M01,B24M01,P01Y2019,55113,39303,70.0,1480.0,1890.0,310404.10038874316,17033.59549949114,1.6945696e+07,489344.06,116,80,108.219,238799.35317689527,45479.55230880231,67016.14531818182,1.3277048e+07,3.5109526e+08,39,37
2019,国产新能源乘用车,上海市,领克,领克03,PHEV,2105.0,60.0,50,27.905,9542307.692307692,5.239822652156388e-06,1,1,5.239822652156388e-06,29894,0.003132785167271262,0.001672576436743159,29894,0.003132785167271262,P01,B24,M03,B24M03,P01Y2019,55113,39303,315.0,331.0,47.0,310505.7309543268,17045.292250393668,1.3005512e+07,652271.5,125,63,108.219,227800.995,45234.55230880231,68859.14531818182,4.1632672e+06,1.0529855e+08,69,103
2019,国产新能源乘用车,云南省,东南,东南DX3,BEV,2015.0,90.0,9,9.59,18130769.23076923,4.963937208315655e-07,1,1,4.963937208315655e-07,7643,0.0004215485787017395,0.001177548083213398,7643,0.0004215485787017395,P02,B25,M01,B25M01,P02Y2019,3702,1987,315.0,331.0,47.0,299449.1846560374,16452.178720972468,1.2817004e+07,263713.28,132,107,108.219,218061.28499999997,46423.66897546898,55414.21335151515,1.0204018e+07,1.029807e+08,58,103
2019,国产新能源乘用车,云南省,东风风行,景逸S50,BEV,2036.0,92.0,30,7.49,18130769.23076923,1.654645736105218e-06,1,1,1.654645736105218e-06,7643,0.0004215485787017395,0.003925160277377993,7643,0.0004215485787017395,P02,B01,M01,B01M01,P02Y2019,3702,1987,170.0,120.0,13.92,299428.1846560374,16450.178720972468,2.8769288e+07,291553.75,96,112,108.219,220333.884,46568.66897546898,55447.29335151515,4.1632672e+06,1.0529855e+08,69,103
2019,国产新能源乘用车,云南省,吉利,嘉际,PHEV,2371.0,60.0,4,13.13,18130769.23076923,2.206194314806958e-07,1,1,2.206194314806958e-07,7643,0.0004215485787017395,0.0005233547036503991,7643,0.0004215485787017395,P02,B06,M02,B06M02,P02Y2019,3702,1987,62.5,1477.0,1846.0,299093.1846560374,16482.178720972468,1.6550656e+07,315476.62,117,108,108.219,256587.24899999998,46676.16897546898,53615.21335151515,1.0204018e+07,1.029807e+08,58,103
2019,国产新能源乘用车,云南省,吉利,帝豪,BEV,1970.0,120.0,821,9.985,18130769.23076923,4.528213831141281e-05,1,1,4.528213831141281e-05,7643,0.0004215485787017395,0.1074185529242444,7643,0.0004215485787017395,P02,B06,M03,B06M03,P02Y2019,3702,1987,61.0,1498.0,1538.0,299494.1846560374,16422.178720972468,1.2891174e+07,284876.9,131,104,108.219,213191.43,46677.66897546898,53923.21335151515,1.0204018e+07,1.029807e+08,58,103
2019,国产新能源乘用车,云南省,吉利,帝豪GSe,BEV,2010.0,120.6451612903226,31,13.49,18130769.23076923,1.709800593975392e-06,1,1,1.709800593975392e-06,7643,0.0004215485787017395,0.004055998953290593,7643,0.0004215485787017395,P02,B06,M05,B06M05,P02Y2019,3702,1987,378.9090909090909,362.5454545454546,53.37272727272727,299454.1846560374,16421.533559682146,2.2543452e+07,423066.47,113,92,108.219,217520.19,46359.75988455989,55407.840624242424,7.5271365e+06,1.0957525e+08,81,103
