year,type,province,brand,model,fuel_type,mass,power,sales,weighted_Avg_Price
2019,国产新能源乘用车,内蒙古自治区,日产,轩逸,纯电动,1940.0,80.0,17.0,13.735
2019,国产新能源乘用车,内蒙古自治区,汉腾,汉腾X5,纯电动,1995.0,95.0,2.0,8.780000000000001
2019,国产新能源乘用车,内蒙古自治区,江淮,江淮iEV6E,纯电动,1573.5961272475795,53.10511756569848,723.0,6.75
2019,国产新能源乘用车,内蒙古自治区,江淮,江淮iEVA50,纯电动,2120.0,92.0,2.0,13.764999999999999
2019,国产新能源乘用车,内蒙古自治区,沃尔沃,沃尔沃S90,插电式汽油混合动力,2620.0,65.0,3.0,45.63999999999999
2019,国产新能源乘用车,内蒙古自治区,沃尔沃,沃尔沃XC60,插电式汽油混合动力,2660.0,262.0,2.0,42.63999999999999
2019,国产新能源乘用车,内蒙古自治区,猎豹,猎豹CS9,纯电动,2012.7083333333333,90.0,24.0,0.0
2019,国产新能源乘用车,内蒙古自治区,祺智,祺智EV,纯电动,2080.0,132.0,12.0,13.48
2019,国产新能源乘用车,内蒙古自治区,福特,蒙迪欧,插电式汽油混合动力,2233.0,92.0,4.0,18.430000000000003
2019,国产新能源乘用车,内蒙古自治区,红旗,红旗E-HS3,纯电动,2177.5,114.0,8.0,24.580000000000002
2019,国产新能源乘用车,内蒙古自治区,荣威,荣威Ei5,纯电动,1992.2608695652175,85.0,23.0,14.68
2019,国产新能源乘用车,内蒙古自治区,蔚来,蔚来ES6,纯电动,2814.1463414634145,39.02439024390244,41.0,44.6
2019,国产新能源乘用车,内蒙古自治区,蔚来,蔚来ES8,纯电动,3099.0,35.55555555555556,27.0,57.599999999999994
2019,国产新能源乘用车,内蒙古自治区,野马,野马EC30,纯电动,2290.0,115.0,2.0,0.0
2019,国产新能源乘用车,内蒙古自治区,长安,奔奔,纯电动,1573.0,45.0,10.0,0.0
2019,国产新能源乘用车,内蒙古自治区,长安,逸动,插电式汽油混合动力,1975.0,80.0,1.0,8.840000000000002
2019,国产新能源乘用车,内蒙古自治区,长安,逸动,纯电动,2025.0,100.0,3.0,8.840000000000002
2019,国产新能源乘用车,内蒙古自治区,长安,长安CS15,纯电动,1905.0,55.0,5.0,6.940000000000001
2019,国产新能源乘用车,内蒙古自治区,长安,长安CS75,插电式汽油混合动力,2445.0,0.0,3.0,11.14
2019,国产新能源乘用车,内蒙古自治区,领克,领克01,插电式汽油混合动力,2223.5,81.6,10.0,18.635
2019,国产新能源乘用车,北京市,东南,东南DX3,纯电动,2015.0,90.0,19.0,9.59
2019,国产新能源乘用车,北京市,东风,帅客,纯电动,2310.0,60.0,3.0,0.0
2019,国产新能源乘用车,北京市,东风风行,菱智,纯电动,2525.0,90.0,3.0,7.990000000000001
2019,国产新能源乘用车,北京市,丰田,卡罗拉,插电式汽油混合动力,1975.0,53.0,53.0,13.48
2019,国产新能源乘用车,北京市,丰田,雷凌,插电式汽油混合动力,1975.0,53.0,41.0,13.229999999999999
2019,国产新能源乘用车,北京市,云度,云度π1,纯电动,1785.0,90.0,15.0,7.7299999999999995
2019,国产新能源乘用车,北京市,云度,云度π3,纯电动,1845.0,90.0,7.0,13.23
2019,国产新能源乘用车,北京市,众泰,众泰E200,纯电动,1270.0,60.0,37.0,0.0
2019,国产新能源乘用车,北京市,传祺,传祺GE3,纯电动,2080.0,132.0,1927.0,0.0
2019,国产新能源乘用车,北京市,吉利,博瑞GE,插电式汽油混合动力,2165.0,67.57894736842105,19.0,15.829999999999998
2019,国产新能源乘用车,北京市,吉利,嘉际,插电式汽油混合动力,2371.0,60.0,8.0,13.129999999999999
2019,国产新能源乘用车,北京市,吉利,帝豪,纯电动,1970.0,120.0,19.0,9.985
2019,国产新能源乘用车,北京市,吉利,帝豪GSe,纯电动,2010.0,120.14925373134328,1675.0,13.49
2019,国产新能源乘用车,北京市,启辰,启辰D60,纯电动,1950.0,120.0,19.0,10.530000000000001
2019,国产新能源乘用车,北京市,启辰,启辰E30,纯电动,1240.0,33.0,3.0,7.89
2019,国产新能源乘用车,北京市,启辰,启辰T60,纯电动,2010.0,120.0,8.0,9.98
2019,国产新能源乘用车,北京市,大众,宝来,纯电动,1980.0,100.0,9.0,13.45
2019,国产新能源乘用车,北京市,大众,帕萨特,插电式汽油混合动力,2190.0,85.0,485.0,21.740000000000002
2019,国产新能源乘用车,北京市,大众,朗逸,纯电动,1970.0,100.0,88.0,12.295
2019,国产新能源乘用车,北京市,大众,途观L,插电式汽油混合动力,2300.0,85.18248175182482,137.0,22.974999999999994
2019,国产新能源乘用车,北京市,大众,高尔夫,纯电动,1990.0,100.0,12.0,17.98
2019,国产新能源乘用车,北京市,奇瑞,艾瑞泽5e,纯电动,1927.5,98.6,100.0,0.0
2019,国产新能源乘用车,北京市,奔腾,奔腾B30,纯电动,1860.0,80.0,1.0,0.0
